,total_amount
0,8.722081545332573
1,11.654656976094646
2,18.046146295093838
3,10.308096683048708
4,8.967564039025806
5,11.066183420431953
6,11.648198257562898
7,12.824235776289886
8,8.060874811173775
9,11.736411280597157
10,15.366893688267858
11,13.368626052269718
12,15.199049837444365
13,14.955736240353945
14,11.170854633806657
15,7.762442205192971
16,43.49802429639092
17,11.734977124291683
18,8.681115046720976
19,8.577578753550274
20,14.952674052188042
21,11.971319202714545
22,8.668992110553832
23,47.743600781228864
24,22.919892851092932
25,10.197575344283424
26,13.431665687912037
27,18.30065807971066
28,50.447934812534044
29,7.436909164859779
30,25.1044249468367
31,9.724199566845527
32,18.871988285787932
33,20.30439252647193
34,12.61258301003755
35,14.690822488028902
36,9.38297817562961
37,17.11823648708004
38,7.162976343010077
39,9.573108860463508
40,10.971782858394453
41,10.878121103915731
42,14.227998551436832
43,45.42222356034749
44,18.62049088595222
45,8.776305198192274
46,13.165618153587282
47,8.21506632816977
48,6.8014214319471575
49,34.6732631938279
50,9.201706318997076
51,90.87115878379308
52,8.336775785271634
53,8.47874165399169
54,9.790310063152914
55,8.807472897087091
56,10.950262212851698
57,9.224485952000084
58,10.153163970037548
59,13.402864766869888
60,7.984328713561969
61,20.075733803522436
62,44.55043348897132
63,6.493972720766577
64,14.067483838885057
65,9.711990463056841
66,15.22655674133419
67,18.38891430859857
68,13.007317962723993
69,14.853754038555586
70,10.13744198895761
71,21.6275634583937
72,10.071554634135092
73,10.839716101139999
74,9.08798268972245
75,10.388012725024147
76,11.344396296074338
77,11.292979470849943
78,9.93764888783629
79,27.465399456370346
80,15.453500323174202
81,9.913214236029644
82,8.482939240032914
83,10.429930393370146
84,8.366384846546374
85,13.935196222507797
86,19.04628589066135
87,10.927932138491565
88,11.0701904280405
89,18.034354235165416
90,17.140714139499245
91,24.152796001021848
92,24.28650748771437
93,9.391363942237122
94,10.499731025698022
95,8.414625186206596
96,18.18341812157481
97,10.274508231750431
98,28.77950719205575
99,10.695785480589969
100,9.198399197177585
101,26.917800713990715
102,13.547643754180612
103,9.988670329441632
104,22.355156569828747
105,9.441990561195603
106,17.580879513737276
107,11.127570746785892
108,45.67221546503193
109,9.691613363120297
110,8.910813557019242
111,7.850192335017207
112,34.01925383837852
113,8.292483412012706
114,14.53924702865806
115,13.308097531709377
116,7.758204991912123
117,51.739765433205385
118,8.281539173591801
119,11.316406248271914
120,11.382240023267785
121,11.651906108982681
122,7.872643493367544
123,20.689787050554514
124,9.916615815001027
125,10.09824085290858
126,13.14391533276825
127,10.573266056341353
128,9.204042933723848
129,10.879245840969995
130,12.221828077148999
131,57.97357204734363
132,36.589672240155444
133,10.119431999063487
134,10.897660437244085
135,18.136963636007128
136,18.213829719362963
137,12.205891805837743
138,10.946971618556024
139,11.306301000812658
140,8.472955768286443
141,7.244593130404313
142,17.139885380827216
143,15.121775381638077
144,10.63141769894028
145,9.760685020940366
146,25.645964046488846
147,10.059515453547606
148,9.008923503014048
149,13.057766519359019
150,13.4311299373707
151,10.979773569210485
152,9.570532372231638
153,30.23408723554308
154,10.13697421305842
155,7.825360924537286
156,25.317923516976435
157,23.81020725719769
158,8.074236011450424
159,20.52409451593937
160,11.601179180216473
161,7.699359757426094
162,11.84815434870045
163,19.207031801213795
164,12.01623198345732
165,9.471222720943667
166,8.583981840042917
167,9.73713513404002
168,9.382055897444783
169,9.42032256287594
170,9.866163129347157
171,55.994472044708665
172,17.034524775632423
173,17.578965951865857
174,34.28186940835532
175,14.129732924924257
176,6.153107088858301
177,10.386530404553715
178,8.799412838569632
179,7.865517846164596
180,10.58863243218046
181,8.714870640542607
182,8.673532308393241
183,16.57116373367825
184,13.17072619332102
185,52.832978746666086
186,9.305613356960261
187,10.218105655188674
188,52.30190930079415
189,10.986711965516541
190,8.731191003477269
191,42.30823404207565
192,7.834700702816541
193,12.59888326798881
194,17.644596876327704
195,8.265255634713789
196,11.546251732439684
197,15.232619749228217
198,8.399768684777325
199,8.260688198710374
200,8.036882554241926
201,11.214682728436097
202,10.192435948446251
203,10.921141522831288
204,7.7002386344280955
205,10.949173187780744
206,9.520657110515883
207,11.553170023494316
208,9.286266015356551
